INFO 2022-05-24 11:10:25,188 autoreload 15736 12792 Watching for file changes with StatReloader
DEBUG 2022-05-24 11:10:25,192 autoreload 15736 12792 Waiting for apps ready_event.
DEBUG 2022-05-24 11:10:25,676 autoreload 15736 12792 Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2022-05-24 11:10:25,893 autoreload 15736 12792 Watching dir C:\Users\tatva.j\Desktop\django-auth-main\venv\lib\site-packages\rest_framework\templates with glob **/*.
DEBUG 2022-05-24 11:10:25,894 autoreload 15736 12792 Watching dir C:\Users\tatva.j\Desktop\django-auth-main\locale with glob **/*.mo.
DEBUG 2022-05-24 11:10:25,895 autoreload 15736 12792 Watching dir C:\Users\tatva.j\Desktop\django-auth-main\venv\lib\site-packages\rest_framework\locale with glob **/*.mo.
DEBUG 2022-05-24 11:10:25,898 autoreload 15736 12792 Watching dir C:\Users\tatva.j\Desktop\django-auth-main\venv\lib\site-packages\corsheaders\locale with glob **/*.mo.
DEBUG 2022-05-24 11:10:25,898 autoreload 15736 12792 Watching dir C:\Users\tatva.j\Desktop\django-auth-main\apis\locale with glob **/*.mo.
DEBUG 2022-05-24 11:10:26,103 utils 15736 8772 (0.016) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2022-05-24 11:10:26,113 utils 15736 8772 (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2022-05-24 11:10:26,611 autoreload 15736 12792 File C:\Users\tatva.j\Desktop\django-auth-main\venv\Lib\site-packages\django\db\models\__init__.py first seen with mtime 1652936686.3428972
DEBUG 2022-05-24 11:10:26,612 autoreload 15736 12792 File C:\Users\tatva.j\AppData\Local\Programs\Python\Python310\Lib\base64.py first seen with mtime 1648057904.0
